Track Name,Artist,Album,Popularity,Duration (minutes)
"Nenjukkul Peidhidum (From ""Vaaranam Aayiram"")",Harris Jayaraj,Harris Jayaraj Melodies,24,6.16
"Vaarayo Vaarayo (From ""Aadhavan"")",Harris Jayaraj,Harris Jayaraj Melodies,23,5.34
"Idhayathai Yedho Ondru (From ""Yennai Arindhaal"")",Harris Jayaraj,Harris Jayaraj Melodies,21,3.92
"Thodu Vaanam (From ""Anegan"")",Harris Jayaraj,Harris Jayaraj Melodies,22,5.25
"Kannai Vittu (From ""Iru Mugan"")",Harris Jayaraj,Harris Jayaraj Melodies,32,6.08
"Engeyum Kaadhal (From ""Engeyum Kaadhal"")",Harris Jayaraj,Harris Jayaraj Melodies,21,5.5
"Ennai Saaithaalae (From ""Endrendrum Punnagai"")",Harris Jayaraj,Harris Jayaraj Melodies,21,5.49
"Mun Andhi (From ""7 Aum Arivu"")",Harris Jayaraj,Harris Jayaraj Melodies,21,6.25
"Ennamo Yeadho (From ""KO"")",Harris Jayaraj,Harris Jayaraj Melodies,55,5.56
"Naani Koni (From ""Maattrraan"")",Harris Jayaraj,Harris Jayaraj Melodies,39,5.44
"Akila Akila (From ""Oru Kal Oru Kannadi"")",Harris Jayaraj,Harris Jayaraj Melodies,39,4.74
"Oru Manam (From ""Dhruva Natchathiram"")",Harris Jayaraj,Harris Jayaraj Melodies,34,5.67
"Anbe Anbe (From ""Ithu Kathirvelan Kadhal"")",Harris Jayaraj,Harris Jayaraj Melodies,39,5.74
"Thaen Kaatru (From ""Gethu"")",Harris Jayaraj,Harris Jayaraj Melodies,30,5.1
"Silu Silu (From ""vanamagan"")",Harris Jayaraj,Harris Jayaraj Melodies,30,5.36
"Oorellaam Unnai Kandu (From ""Nannbenda"")",Harris Jayaraj,Harris Jayaraj Melodies,29,4.95
"Kani Mozhiyae (From ""Irandaam Uagam"")",Harris Jayaraj,Harris Jayaraj Melodies,19,5.79
